tweet_id,company,date,username,text,replies,reposts,likes,bookmarks,views,comment_count,total_engagement,main_sentiment,avg_comment_sentiment
1900268631302561880,apple,2025-04-11,theapplehub,what is your iphones battery health,1264,591,6536,477,1861708,141,8868,0.0,0.09626548156335389
1900644023263785029,apple,2025-04-11,theapplehub,how many apple watch models have you owned,724,676,5880,693,598024,436,7973,0.5,0.07901535094716913
1901104788986884366,apple,2025-04-11,theapplehub,iphone users would you ever switch to an android phone,1976,446,6899,469,972528,450,9790,0.0,0.09728556459645665
1901366641205883040,apple,2025-04-11,theapplehub,iphone air latest details would you buy one source,484,580,6255,609,619254,43,7928,0.5,0.09854399476492501
1902070769057984962,apple,2025-04-11,theapplehub,iphone pro latest details and sizes a chip nm gb of ram new rectangular camera design three mp rear cameras source analyst jeff pu,315,688,8215,649,634088,394,9867,0.3181818181818182,-0.0008131218253326114
1902821171281924441,apple,2025-04-11,theapplehub,apple is reportedly losing billion annually on apple tv are you subscribed to apple tv source,372,187,3503,172,372601,340,4234,0.0,0.1550987650742115
1904599592739787142,apple,2025-04-11,theapplehub,apple has officially announced set to start on june apple is expected to introduce ios at the event,76,457,4967,184,252132,154,5684,-0.1,0.17643009105899732
1905416454033534977,apple,2025-04-11,theapplehub,iphone pro vs the rumored iphone pro design,225,390,5520,330,474070,338,6465,0.0,-0.013024747917385948
1905530532047593835,apple,2025-04-11,theapplehub,what new features do you want to see in ios,458,218,4905,149,416480,453,5730,0.13636363636363635,0.09940330865555583
1906767774351077666,apple,2025-04-11,theapplehub,these are the new emoji available today with ios which one is your favorite,273,634,5856,350,446368,286,7113,0.34545454545454546,0.04088046495489243
1906886073839743256,apple,2025-04-11,theapplehub,ios will reportedly support these iphone models the iphone xs iphone xs max and iphone xr will not be supported,470,2727,18324,1165,1318033,356,22686,0.0,0.09913459709663147
1907100695549059510,apple,2025-04-11,theapplehub,today apple has introduced a new sky blue color for the iphone pro and iphone pro max you can order the new color on april th and will be available on april th now make sure to check the alttext on the image,256,704,7478,458,539575,138,8896,0.2595454545454546,0.04642542492849413
1908894708929348082,apple,2025-04-11,theapplehub,the iphone pro will reportedly not feature a particularly bold new look the front will be quite similar to the pro however the back will feature a new larger camera design source,155,315,4109,299,325120,266,4878,0.101010101010101,0.04073933066492591
1908903287568347542,apple,2025-04-11,theapplehub,apple is reportedly working on a major th anniversary redesign for the iphone pro alongside a foldable iphone the new design will make a more extensive use of glass source,118,165,2882,207,204231,168,3372,0.13977272727272727,0.0742008648960232
1909525124652712408,apple,2025-04-11,theapplehub,this is allegedly our first look at the new ios design do you like the new design source,468,552,7009,665,449466,286,8694,0.10568181818181818,-0.04464882043618698
1909615214754250808,apple,2025-04-11,theapplehub,the iphone pro models will reportedly feature the ability to record front and rearfacing video at the same time the feature is expected to be exclusive to the iphone pro models source,172,304,4518,266,282107,178,5260,-0.05,0.09293705726092089
1909653502126965241,apple,2025-04-11,theapplehub,is your iphones battery life better or worse with ios,598,239,5665,213,508295,444,6715,0.04999999999999999,-0.011510597503825498
1909687808060711266,apple,2025-04-11,theapplehub,president trump believes apple could manufacture iphones in the us according to press secretary karoline leavitt should apple manufacture iphones in the us,362,209,2721,147,317954,462,3439,0.0,0.10541206700692336
1908894708929348082,apple,2025-04-12,theapplehub,the iphone pro will reportedly not feature a particularly bold new look the front will be quite similar to the pro however the back will feature a new larger camera design source,157,319,4134,300,330504,244,4910,0.101010101010101,0.052339075666997754
1908903287568347542,apple,2025-04-12,theapplehub,apple is reportedly working on a major th anniversary redesign for the iphone pro alongside a foldable iphone the new design will make a more extensive use of glass source,118,168,2911,210,209529,163,3407,0.13977272727272727,0.06994539232820482
1909525124652712408,apple,2025-04-12,theapplehub,this is allegedly our first look at the new ios design do you like the new design source,467,555,7043,663,457035,341,8728,0.10568181818181818,0.028788286239151018
1909615214754250808,apple,2025-04-12,theapplehub,the iphone pro models will reportedly feature the ability to record front and rearfacing video at the same time the feature is expected to be exclusive to the iphone pro models source,176,311,4554,272,293882,103,5313,-0.05,0.15938642695956526
1909653502126965241,apple,2025-04-12,theapplehub,is your iphones battery life better or worse with ios,602,242,5714,217,519809,300,6775,0.04999999999999999,0.005850861788361781
1909687808060711266,apple,2025-04-12,theapplehub,president trump believes apple could manufacture iphones in the us according to press secretary karoline leavitt should apple manufacture iphones in the us,370,217,2765,147,326519,273,3499,0.0,0.11354951773165073
1906767774351077666,apple,2025-04-13,theapplehub,these are the new emoji available today with ios which one is your favorite,274,638,5868,350,449034,248,7130,0.34545454545454546,0.03034970238095238
1906886073839743256,apple,2025-04-13,theapplehub,ios will reportedly support these iphone models the iphone xs iphone xs max and iphone xr will not be supported,470,2730,18329,1165,1321580,351,22694,0.0,0.0880068018222088
1907100695549059510,apple,2025-04-13,theapplehub,today apple has introduced a new sky blue color for the iphone pro and iphone pro max you can order the new color on april th and will be available on april th now make sure to check the alttext on the image,256,707,7487,459,543938,193,8909,0.2595454545454546,0.10701446411661257
1908894708929348082,apple,2025-04-13,theapplehub,the iphone pro will reportedly not feature a particularly bold new look the front will be quite similar to the pro however the back will feature a new larger camera design source,157,319,4133,301,331445,245,4910,0.101010101010101,0.04878944255553697
1908903287568347542,apple,2025-04-13,theapplehub,apple is reportedly working on a major th anniversary redesign for the iphone pro alongside a foldable iphone the new design will make a more extensive use of glass source,118,168,2912,211,210303,208,3409,0.13977272727272727,0.08327515940186839
1909525124652712408,apple,2025-04-13,theapplehub,this is allegedly our first look at the new ios design do you like the new design source,468,557,7046,665,458414,367,8736,0.10568181818181818,0.036900316187080895
1909615214754250808,apple,2025-04-13,theapplehub,the iphone pro models will reportedly feature the ability to record front and rearfacing video at the same time the feature is expected to be exclusive to the iphone pro models source,176,311,4562,275,295008,264,5324,-0.05,0.10184464091937737
1909653502126965241,apple,2025-04-13,theapplehub,is your iphones battery life better or worse with ios,604,243,5720,218,521889,448,6785,0.04999999999999999,0.022536963612496123
1909687808060711266,apple,2025-04-13,theapplehub,president trump believes apple could manufacture iphones in the us according to press secretary karoline leavitt should apple manufacture iphones in the us,370,218,2768,149,327747,425,3505,0.0,0.08521816322927576
1897050446113747118,apple,2025-04-14,theapplehub,old vs new,395,520,8714,337,585106,353,9966,0.11818181818181818,0.10776018320233745
1897287137604817350,apple,2025-04-14,theapplehub,apple has launched the new m macbook air with a new sky blue color now starting at you can order today and will be available on march,128,963,9246,568,546379,97,10905,0.13454545454545455,0.08429510238438809
1897297936473841895,apple,2025-04-14,theapplehub,apple has officially discontinued the m and m macbook air,71,222,4196,143,290864,86,4632,0.0,0.09533896059359023
1899137596342915423,apple,2025-04-14,theapplehub,its going to be a big year for the iphone,333,320,5594,295,462548,404,6542,0.0,-0.04796674436053399
1899324377222754798,apple,2025-04-14,theapplehub,ios will reportedly introduce the biggest design change since ios source,292,598,8294,401,532239,283,9585,0.0,0.07274150521894206
1900268631302561880,apple,2025-04-14,theapplehub,what is your iphones battery health,1260,593,6534,476,1864228,253,8863,0.0,0.10063955191073835
1900644023263785029,apple,2025-04-14,theapplehub,how many apple watch models have you owned,724,675,5884,691,599258,379,7974,0.5,0.10057587988143543
